Car_Name,Selling_Price(lacs),Present_Price(lacs),Kms_Driven,Fuel_Type,Seller_Type,Transmission,Past_Owners,age
ertiga,6.0,9.95,45000,Diesel,Dealer,Manual,0,7
dzire,5.5,8.06,45000,Diesel,Dealer,Manual,0,7
sx4,2.95,7.74,49998,CNG,Dealer,Manual,0,10
dzire,4.65,7.2,48767,Petrol,Dealer,Manual,0,6
alto k10,3.0,3.76,10079,Petrol,Dealer,Manual,0,5
sx4,2.25,7.98,62000,Petrol,Dealer,Manual,0,18
baleno,5.85,7.87,24524,Petrol,Dealer,Automatic,0,5
alto k10,2.55,3.98,46706,Petrol,Dealer,Manual,0,7
sx4,1.95,7.15,58000,Petrol,Dealer,Manual,0,13
dzire,5.5,8.06,45780,Diesel,Dealer,Manual,0,7
omni,1.25,2.69,50000,Petrol,Dealer,Manual,0,9
ciaz,7.5,12.04,15000,Petrol,Dealer,Automatic,0,7
ritz,2.65,4.89,64532,Petrol,Dealer,Manual,0,8
wagon r,1.05,4.15,65000,Petrol,Dealer,Manual,0,15
ertiga,5.8,7.71,25870,Petrol,Dealer,Manual,0,6
ciaz,7.75,9.29,37000,Petrol,Dealer,Automatic,0,4
corolla altis,3.6,15.04,70000,Petrol,Dealer,Automatic,0,12
etios cross,4.5,7.27,40534,Petrol,Dealer,Manual,0,6
corolla altis,4.75,18.54,50000,Petrol,Dealer,Manual,0,11
etios g,4.1,6.8,39485,Petrol,Dealer,Manual,1,7
corolla altis,6.95,18.61,40001,Petrol,Dealer,Manual,0,8
etios cross,4.5,7.7,40588,Petrol,Dealer,Manual,0,6
etios liva,4.75,6.95,45000,Diesel,Dealer,Manual,0,7
fortuner,9.25,20.45,59000,Diesel,Dealer,Manual,0,11
etios liva,3.95,6.76,71000,Diesel,Dealer,Manual,0,7
corolla altis,4.5,12.48,45000,Diesel,Dealer,Manual,0,10
corolla altis,7.45,18.61,56001,Petrol,Dealer,Manual,0,8
etios liva,2.65,5.71,43000,Petrol,Dealer,Manual,0,10
etios cross,4.9,8.93,83000,Diesel,Dealer,Manual,0,7
etios g,3.95,6.8,36000,Petrol,Dealer,Manual,0,6
corolla altis,5.5,14.68,72000,Petrol,Dealer,Manual,0,8
etios gd,4.75,7.85,40000,Diesel,Dealer,Manual,0,6
innova,12.5,13.46,38000,Diesel,Dealer,Manual,0,6
corolla altis,5.9,13.74,56000,Petrol,Dealer,Manual,0,9
etios liva,3.45,6.05,47000,Petrol,Dealer,Manual,0,8
etios g,4.75,6.76,40000,Petrol,Dealer,Manual,0,7
corolla altis,3.8,18.61,62000,Petrol,Dealer,Manual,0,12
innova,11.25,16.09,58242,Diesel,Dealer,Manual,0,7
innova,3.51,13.7,75000,Petrol,Dealer,Manual,0,16
corolla altis,5.85,18.61,72000,Petrol,Dealer,Manual,0,9
corolla altis,7.05,18.61,45000,Petrol,Dealer,Manual,0,8
fortuner,9.65,20.45,50024,Diesel,Dealer,Manual,0,11
Royal Enfield Thunder 500,1.75,1.9,3000,Petrol,Individual,Manual,0,5
UM Renegade Mojave,1.7,1.82,1400,Petrol,Individual,Manual,0,4
KTM RC200,1.65,1.78,4000,Petrol,Individual,Manual,0,4
Bajaj Dominar 400,1.45,1.6,1200,Petrol,Individual,Manual,0,4
Royal Enfield Classic 350,1.35,1.47,4100,Petrol,Individual,Manual,0,4
KTM RC390,1.35,2.37,21700,Petrol,Individual,Manual,0,6
Hyosung GT250R,1.35,3.45,16500,Petrol,Individual,Manual,1,7
Royal Enfield Thunder 350,1.25,1.5,15000,Petrol,Individual,Manual,0,8
Royal Enfield Thunder 350,1.2,1.5,18000,Petrol,Individual,Manual,0,5
Royal Enfield Classic 350,1.2,1.47,11000,Petrol,Individual,Manual,0,4
KTM RC200,1.2,1.78,6000,Petrol,Individual,Manual,0,5
Royal Enfield Thunder 350,1.15,1.5,8700,Petrol,Individual,Manual,0,5
KTM 390 Duke ,1.15,2.4,7000,Petrol,Individual,Manual,0,7
Mahindra Mojo XT300,1.15,1.4,35000,Petrol,Individual,Manual,0,5
Royal Enfield Classic 350,1.15,1.47,17000,Petrol,Individual,Manual,0,6
Royal Enfield Classic 350,1.11,1.47,17500,Petrol,Individual,Manual,0,6
Royal Enfield Classic 350,1.1,1.47,33000,Petrol,Individual,Manual,0,8
Royal Enfield Thunder 500,1.1,1.9,14000,Petrol,Individual,Manual,0,6
Royal Enfield Classic 350,1.1,1.47,26000,Petrol,Individual,Manual,0,6
Royal Enfield Thunder 500,1.05,1.9,5400,Petrol,Individual,Manual,0,8
Bajaj Pulsar RS200,1.05,1.26,5700,Petrol,Individual,Manual,0,5
Royal Enfield Thunder 350,1.05,1.5,6900,Petrol,Individual,Manual,0,10
Royal Enfield Bullet 350,1.05,1.17,6000,Petrol,Individual,Manual,0,5
Royal Enfield Classic 350,1.0,1.47,46500,Petrol,Individual,Manual,0,8
Royal Enfield Classic 500,0.95,1.75,11500,Petrol,Individual,Manual,0,9
Royal Enfield Classic 500,0.9,1.75,40000,Petrol,Individual,Manual,0,12
Bajaj Avenger 220,0.9,0.95,1300,Petrol,Individual,Manual,0,4
Bajaj Avenger 150,0.75,0.8,7000,Petrol,Individual,Manual,0,5
Honda CB Hornet 160R,0.8,0.87,3000,Petrol,Individual,Manual,0,4
Yamaha FZ S V 2.0,0.78,0.84,5000,Petrol,Individual,Manual,0,4
Honda CB Hornet 160R,0.75,0.87,11000,Petrol,Individual,Manual,0,4
Yamaha FZ 16,0.75,0.82,18000,Petrol,Individual,Manual,0,6
Bajaj Avenger 220,0.75,0.95,3500,Petrol,Individual,Manual,0,4
Bajaj Avenger 220,0.72,0.95,500,Petrol,Individual,Manual,0,5
TVS Apache RTR 160,0.65,0.81,11800,Petrol,Individual,Manual,0,4
Bajaj Pulsar 150,0.65,0.74,5000,Petrol,Individual,Manual,0,6
Honda CBR 150,0.65,1.2,23500,Petrol,Individual,Manual,0,7
Hero Extreme,0.65,0.787,16000,Petrol,Individual,Manual,0,8
Honda CB Hornet 160R,0.6,0.87,15000,Petrol,Individual,Manual,0,5
Bajaj Avenger 220 dtsi,0.6,0.95,16600,Petrol,Individual,Manual,0,6
Honda CBR 150,0.6,1.2,32000,Petrol,Individual,Manual,0,8
Bajaj Avenger 150 street,0.6,0.8,20000,Petrol,Individual,Manual,0,5
Yamaha FZ  v 2.0,0.6,0.84,29000,Petrol,Individual,Manual,0,6
Yamaha FZ  v 2.0,0.6,0.84,25000,Petrol,Individual,Manual,0,5
Bajaj Pulsar  NS 200,0.6,0.99,25000,Petrol,Individual,Manual,0,7
TVS Apache RTR 160,0.6,0.81,19000,Petrol,Individual,Manual,0,9
Hero Extreme,0.55,0.787,15000,Petrol,Individual,Manual,0,7
Yamaha FZ S V 2.0,0.55,0.84,58000,Petrol,Individual,Manual,0,6
Bajaj Pulsar 220 F,0.52,0.94,45000,Petrol,Individual,Manual,0,11
Bajaj Pulsar 220 F,0.51,0.94,24000,Petrol,Individual,Manual,0,5
TVS Apache RTR 180,0.5,0.826,6000,Petrol,Individual,Manual,0,10
Hero Passion X pro,0.5,0.55,31000,Petrol,Individual,Manual,0,5
Bajaj Pulsar NS 200,0.5,0.99,13000,Petrol,Individual,Manual,0,9
Bajaj Pulsar NS 200,0.5,0.99,45000,Petrol,Individual,Manual,0,8
Yamaha Fazer ,0.5,0.88,8000,Petrol,Individual,Manual,0,7
Honda Activa 4G,0.48,0.51,4300,Petrol,Individual,Automatic,0,4
TVS Sport ,0.48,0.52,15000,Petrol,Individual,Manual,0,4
Yamaha FZ S V 2.0,0.48,0.84,23000,Petrol,Individual,Manual,0,6
Honda Dream Yuga ,0.48,0.54,8600,Petrol,Individual,Manual,0,4
Honda Activa 4G,0.45,0.51,4000,Petrol,Individual,Automatic,0,4
Bajaj Avenger Street 220,0.45,0.95,24000,Petrol,Individual,Manual,0,10
TVS Apache RTR 180,0.45,0.826,23000,Petrol,Individual,Manual,0,7
Bajaj Pulsar NS 200,0.45,0.99,14500,Petrol,Individual,Manual,0,9
Bajaj Avenger 220 dtsi,0.45,0.95,27000,Petrol,Individual,Manual,0,11
Hero Splender iSmart,0.45,0.54,14000,Petrol,Individual,Manual,0,5
Activa 3g,0.45,0.54,500,Petrol,Individual,Automatic,0,5
Hero Passion Pro,0.45,0.55,1000,Petrol,Individual,Manual,0,5
TVS Apache RTR 160,0.42,0.81,42000,Petrol,Individual,Manual,0,7
Honda CB Trigger,0.42,0.73,12000,Petrol,Individual,Manual,0,8
Hero Splender iSmart,0.4,0.54,14000,Petrol,Individual,Manual,0,6
Yamaha FZ S ,0.4,0.83,5500,Petrol,Individual,Manual,0,9
Hero Passion Pro,0.4,0.55,6700,Petrol,Individual,Manual,0,6
Bajaj Pulsar 135 LS,0.4,0.64,13700,Petrol,Individual,Manual,0,7
Activa 4g,0.4,0.51,1300,Petrol,Individual,Automatic,0,4
Honda CB Unicorn,0.38,0.72,38600,Petrol,Individual,Manual,0,6
Hero Honda CBZ extreme,0.38,0.787,75000,Petrol,Individual,Manual,0,10
Honda Karizma,0.35,1.05,30000,Petrol,Individual,Manual,0,10
Honda Activa 125,0.35,0.57,24000,Petrol,Individual,Automatic,0,5
TVS Jupyter,0.35,0.52,19000,Petrol,Individual,Automatic,0,7
Hero Honda Passion Pro,0.3,0.51,60000,Petrol,Individual,Manual,0,9
Hero Splender Plus,0.3,0.48,50000,Petrol,Individual,Manual,0,5
Honda CB Shine,0.3,0.58,30000,Petrol,Individual,Manual,0,8
Bajaj Discover 100,0.27,0.47,21000,Petrol,Individual,Manual,0,8
Bajaj Pulsar 150,0.25,0.75,26000,Petrol,Individual,Manual,1,13
Suzuki Access 125,0.25,0.58,1900,Petrol,Individual,Automatic,0,13
TVS Wego,0.25,0.52,22000,Petrol,Individual,Automatic,0,11
Honda CB twister,0.25,0.51,32000,Petrol,Individual,Manual,0,8
Hero Glamour,0.25,0.57,18000,Petrol,Individual,Manual,0,8
Hero Super Splendor,0.2,0.57,55000,Petrol,Individual,Manual,0,16
Bajaj Pulsar 150,0.2,0.75,60000,Petrol,Individual,Manual,0,13
Bajaj Discover 125,0.2,0.57,25000,Petrol,Individual,Manual,1,9
Hero Hunk,0.2,0.75,49000,Petrol,Individual,Manual,1,14
Hero  Ignitor Disc,0.2,0.65,24000,Petrol,Individual,Manual,1,8
Hero  CBZ Xtreme,0.2,0.787,50000,Petrol,Individual,Manual,0,13
Bajaj  ct 100,0.18,0.32,35000,Petrol,Individual,Manual,0,6
Honda CB twister,0.16,0.51,33000,Petrol,Individual,Manual,0,11
Bajaj Discover 125,0.15,0.57,35000,Petrol,Individual,Manual,1,10
Honda CB Shine,0.12,0.58,53000,Petrol,Individual,Manual,0,14
i20,3.25,6.79,58000,Diesel,Dealer,Manual,1,11
grand i10,4.4,5.7,28200,Petrol,Dealer,Manual,0,6
i10,2.95,4.6,53460,Petrol,Dealer,Manual,0,10
eon,2.75,4.43,28282,Petrol,Dealer,Manual,0,6
grand i10,5.25,5.7,3493,Petrol,Dealer,Manual,1,5
xcent,5.75,7.13,12479,Petrol,Dealer,Manual,0,4
grand i10,5.15,5.7,34797,Petrol,Dealer,Automatic,0,6
i20,7.9,8.1,3435,Petrol,Dealer,Manual,0,4
grand i10,4.85,5.7,21125,Diesel,Dealer,Manual,0,6
i10,3.1,4.6,35775,Petrol,Dealer,Manual,0,9
elantra,11.75,14.79,43535,Diesel,Dealer,Manual,0,6
creta,11.25,13.6,22671,Petrol,Dealer,Manual,0,5
i20,2.9,6.79,31604,Petrol,Dealer,Manual,0,10
grand i10,5.25,5.7,20114,Petrol,Dealer,Manual,0,4
verna,4.5,9.4,36100,Petrol,Dealer,Manual,0,9
eon,2.9,4.43,12500,Petrol,Dealer,Manual,0,5
eon,3.15,4.43,15000,Petrol,Dealer,Manual,0,5
verna,6.45,9.4,45078,Petrol,Dealer,Manual,0,7
verna,4.5,9.4,36000,Petrol,Dealer,Manual,0,9
eon,3.5,4.43,38488,Petrol,Dealer,Manual,0,4
i20,4.5,6.79,32000,Petrol,Dealer,Automatic,0,8
i20,6.0,7.6,77632,Diesel,Dealer,Manual,0,7
verna,8.25,9.4,61381,Diesel,Dealer,Manual,0,6
verna,5.11,9.4,36198,Petrol,Dealer,Automatic,0,8
i10,2.7,4.6,22517,Petrol,Dealer,Manual,0,10
grand i10,5.25,5.7,24678,Petrol,Dealer,Manual,0,6
i10,2.55,4.43,57000,Petrol,Dealer,Manual,0,10
verna,4.95,9.4,60000,Diesel,Dealer,Manual,0,9
i20,3.1,6.79,52132,Diesel,Dealer,Manual,0,9
verna,6.15,9.4,45000,Diesel,Dealer,Manual,0,8
verna,9.25,9.4,15001,Petrol,Dealer,Manual,0,4
elantra,11.45,14.79,12900,Petrol,Dealer,Automatic,0,6
grand i10,3.9,5.7,53000,Diesel,Dealer,Manual,0,8
grand i10,5.5,5.7,4492,Petrol,Dealer,Manual,0,6
verna,9.1,9.4,15141,Petrol,Dealer,Manual,0,4
eon,3.1,4.43,11849,Petrol,Dealer,Manual,0,5
creta,11.25,13.6,68000,Diesel,Dealer,Manual,0,6
verna,4.8,9.4,60241,Petrol,Dealer,Manual,0,8
eon,2.0,4.43,23709,Petrol,Dealer,Manual,0,9
verna,5.35,9.4,32322,Diesel,Dealer,Manual,0,9
xcent,4.75,7.13,35866,Petrol,Dealer,Manual,1,6
xcent,4.4,7.13,34000,Petrol,Dealer,Manual,0,7
i20,6.25,7.6,7000,Petrol,Dealer,Manual,0,5
verna,5.95,9.4,49000,Diesel,Dealer,Manual,0,8
verna,5.2,9.4,71000,Diesel,Dealer,Manual,0,9
i20,3.75,6.79,35000,Petrol,Dealer,Manual,0,9
verna,5.95,9.4,36000,Petrol,Dealer,Manual,0,6
i10,4.0,4.6,30000,Petrol,Dealer,Manual,0,8
i20,5.25,7.6,17000,Petrol,Dealer,Manual,0,5
city,5.0,9.9,56701,Petrol,Dealer,Manual,0,8
brio,5.4,6.82,31427,Petrol,Dealer,Automatic,0,6
city,7.2,9.9,48000,Diesel,Dealer,Manual,0,7
city,5.25,9.9,54242,Petrol,Dealer,Manual,0,8
brio,3.0,5.35,53675,Petrol,Dealer,Manual,0,9
city,10.25,13.6,49562,Petrol,Dealer,Manual,0,5
city,8.5,13.6,40324,Petrol,Dealer,Manual,0,6
city,8.4,13.6,25000,Petrol,Dealer,Manual,0,6
amaze,3.9,7.0,36054,Petrol,Dealer,Manual,0,7
city,9.15,13.6,29223,Petrol,Dealer,Manual,0,5
brio,5.5,5.97,5600,Petrol,Dealer,Manual,0,5
amaze,4.0,5.8,40023,Petrol,Dealer,Manual,0,6
jazz,6.6,7.7,16002,Petrol,Dealer,Manual,0,5
amaze,4.0,7.0,40026,Petrol,Dealer,Manual,0,6
jazz,6.5,8.7,21200,Petrol,Dealer,Manual,0,4
amaze,3.65,7.0,35000,Petrol,Dealer,Manual,0,7
city,8.35,9.4,19434,Diesel,Dealer,Manual,0,5
brio,4.8,5.8,19000,Petrol,Dealer,Manual,0,4
city,6.7,10.0,18828,Petrol,Dealer,Manual,0,6
city,4.1,10.0,69341,Petrol,Dealer,Manual,0,10
city,3.0,10.0,69562,Petrol,Dealer,Manual,0,12
city,7.5,10.0,27600,Petrol,Dealer,Manual,0,6
jazz,2.25,7.5,61203,Petrol,Dealer,Manual,0,11
brio,5.3,6.8,16500,Petrol,Dealer,Manual,0,7
city,10.9,13.6,30753,Petrol,Dealer,Automatic,0,5
city,8.65,13.6,24800,Petrol,Dealer,Manual,0,6
city,9.7,13.6,21780,Petrol,Dealer,Manual,0,6
jazz,6.0,8.4,4000,Petrol,Dealer,Manual,0,5
city,6.25,13.6,40126,Petrol,Dealer,Manual,0,7
brio,5.25,5.9,14465,Petrol,Dealer,Manual,0,6
city,2.1,7.6,50456,Petrol,Dealer,Manual,0,15
city,8.25,14.0,63000,Diesel,Dealer,Manual,0,7
city,8.99,11.8,9010,Petrol,Dealer,Manual,0,5
brio,3.5,5.9,9800,Petrol,Dealer,Manual,0,8
jazz,7.4,8.5,15059,Petrol,Dealer,Automatic,0,5
jazz,5.65,7.9,28569,Petrol,Dealer,Manual,0,5
amaze,5.75,7.5,44000,Petrol,Dealer,Automatic,0,6
city,8.4,13.6,34000,Petrol,Dealer,Manual,0,6
city,10.11,13.6,10980,Petrol,Dealer,Manual,0,5
amaze,4.5,6.4,19000,Petrol,Dealer,Manual,0,7
brio,5.4,6.1,31427,Petrol,Dealer,Manual,0,6
jazz,6.4,8.4,12000,Petrol,Dealer,Manual,0,5
city,3.25,9.9,38000,Petrol,Dealer,Manual,0,11
amaze,3.75,6.8,33019,Petrol,Dealer,Manual,0,7
city,8.55,13.09,60076,Diesel,Dealer,Manual,0,6
city,9.5,11.6,33988,Diesel,Dealer,Manual,0,5
brio,4.0,5.9,60000,Petrol,Dealer,Manual,0,6
city,3.35,11.0,87934,Petrol,Dealer,Manual,0,12
city,11.5,12.5,9000,Diesel,Dealer,Manual,0,4
brio,5.3,5.9,5464,Petrol,Dealer,Manual,0,5
