Selling_Price(lakhs),Kms_Driven,fuel,seller_type,transmission,Past_Owners,mileage,Present_Price(lakhs),age
5.35,120000,Diesel,Individual,Manual,1.0,20.4,8.41,9
7.0,70000,Diesel,Individual,Manual,1.0,19.4,9.99,8
5.5,70000,Diesel,Individual,Manual,1.0,22.54,6.55,8
6.8,15000,Petrol,Individual,Automatic,1.0,26.8,8.41,2
2.0,53000,Petrol,Individual,Manual,2.0,17.6,10.47,12
5.0,120000,Diesel,Individual,Manual,2.0,17.3,8.5,7
10.0,70000,Diesel,Individual,Manual,1.0,22.32,9.0,5
1.1,120000,Petrol,Individual,Manual,2.0,23.4,4.26,13
3.2,100000,Petrol,Individual,Manual,2.0,19.3,8.41,9
0.75,110000,Diesel,Individual,Manual,2.0,26.0,4.26,16
3.5,100000,Petrol,Individual,Manual,1.0,19.3,9.0,6
8.0,39000,Diesel,Individual,Manual,1.0,11.5,14.0,4
5.0,75000,Diesel,Individual,Manual,1.0,27.28,13.8,4
5.3,92500,Diesel,Individual,Manual,1.0,20.85,8.41,8
3.1,120000,Diesel,Individual,Manual,1.0,16.55,8.41,9
7.25,50000,Diesel,Individual,Manual,2.0,19.3,5.37,6
5.5,2000,Diesel,Individual,Manual,2.0,19.02,6.84,4
3.8,70000,Diesel,Individual,Manual,1.0,12.05,11.33,5
3.5,90000,Petrol,Individual,Automatic,2.0,14.07,8.41,8
6.1,2000,Petrol,Individual,Manual,1.0,27.28,16.73,2
5.25,20000,Petrol,Individual,Manual,1.0,17.57,14.15,6
4.8,120000,Diesel,Individual,Manual,1.0,13.2,8.41,10
7.8,35000,Diesel,Individual,Manual,1.0,19.4,8.41,4
3.75,80000,Petrol,Individual,Manual,1.0,21.02,9.0,7
3.0,40000,Petrol,Individual,Manual,1.0,19.7,16.53,2
5.0,75000,Diesel,Individual,Manual,1.0,13.6,5.75,6
3.5,120000,Diesel,Individual,Manual,1.0,17.9,7.5,4
3.8,40000,Petrol,Individual,Manual,1.0,16.8,5.0,6
1.15,95200,Petrol,Individual,Manual,3.0,18.9,4.98,13
3.35,33033,Petrol,Dealer,Manual,1.0,18.9,8.8,7
4.65,63063,Petrol,Dealer,Automatic,1.0,16.95,3.5,6
1.1,45000,Petrol,Individual,Manual,2.0,16.95,9.15,16
4.5,80000,Diesel,Individual,Manual,3.0,18.6,9.15,10
2.2,35000,Petrol,Individual,Manual,1.0,17.19,4.98,5
4.5,35000,Petrol,Individual,Manual,1.0,21.01,6.55,4
4.5,35000,Petrol,Individual,Manual,1.0,17.0,8.41,4
2.9,50000,Petrol,Individual,Automatic,1.0,19.7,6.55,8
5.2,20000,Petrol,Individual,Manual,1.0,26.59,8.41,5
2.65,20000,Petrol,Individual,Automatic,1.0,19.1,8.41,10
3.3,50000,Petrol,Individual,Manual,2.0,24.0,9.15,9
3.3,50000,Petrol,Individual,Manual,2.0,19.1,15.2,9
5.1,120000,Diesel,Individual,Manual,1.0,18.6,6.67,7
5.0,70000,Petrol,Individual,Manual,1.0,20.3,9.1,7
5.25,50000,Petrol,Individual,Manual,1.0,16.1,9.0,6
6.75,16500,Petrol,Individual,Manual,1.0,25.6,3.5,2
3.0,70000,Petrol,Individual,Manual,1.0,25.6,8.41,11
0.9,99361,Petrol,Individual,Manual,2.0,16.02,8.41,16
6.5,25000,Diesel,Individual,Manual,1.0,19.01,4.98,4
4.09,70000,Petrol,Individual,Manual,2.0,17.4,8.41,7
3.95,80000,Diesel,Individual,Manual,2.0,25.17,8.41,6
2.15,70000,Petrol,Individual,Manual,2.0,12.99,6.57,11
4.0,70000,Petrol,Individual,Manual,2.0,20.51,7.64,7
1.2,60000,Petrol,Individual,Manual,3.0,21.38,2.38,9
6.45,10000,Petrol,Individual,Automatic,1.0,23.84,14.95,3
0.81,80000,Petrol,Individual,Manual,1.0,24.0,14.95,15
5.35,90000,Petrol,Individual,Manual,3.0,17.4,14.95,8
5.55,80100,Diesel,Individual,Manual,2.0,20.4,5.0,7
7.25,120000,Petrol,Individual,Manual,1.0,17.0,5.31,7
3.0,10000,Diesel,Individual,Manual,3.0,17.3,16.73,38
2.3,40000,Petrol,Individual,Manual,1.0,23.1,6.0,5
4.1,47000,Petrol,Individual,Manual,1.0,21.1,6.84,4
4.0,26000,Petrol,Individual,Manual,1.0,17.3,9.1,4
5.2,29000,Diesel,Individual,Manual,1.0,17.1,8.41,3
6.5,50000,Petrol,Individual,Automatic,1.0,18.2,8.41,5
3.25,58000,Petrol,Individual,Manual,3.0,19.7,8.41,10
4.2,120000,Petrol,Individual,Automatic,1.0,19.3,9.0,9
4.0,50000,Petrol,Individual,Manual,1.0,19.0,4.14,7
3.51,36000,Petrol,Individual,Manual,1.0,23.08,6.58,4
4.04,120000,Diesel,Individual,Manual,3.0,18.9,5.99,14
2.5,50000,Diesel,Individual,Manual,1.0,17.0,15.2,10
5.0,50000,Petrol,Individual,Manual,2.0,22.0,6.35,8
0.85,80000,Petrol,Individual,Manual,2.0,20.63,3.5,14
0.85,60000,Petrol,Individual,Manual,2.0,18.9,8.41,16
4.8,110000,Diesel,Individual,Manual,3.0,17.0,5.99,8
1.7,120000,Diesel,Individual,Manual,3.0,16.95,6.0,13
2.75,45000,Diesel,Individual,Manual,1.0,23.59,8.19,10
0.89,90000,Petrol,Individual,Manual,2.0,20.36,12.7,16
10.9,16500,Petrol,Dealer,Manual,1.0,15.1,8.41,2
6.1,52000,Petrol,Dealer,Manual,1.0,15.64,4.98,3
4.35,40000,Petrol,Dealer,Manual,1.0,14.84,5.31,6
3.9,13000,Petrol,Dealer,Manual,1.0,23.08,8.0,3
3.25,40000,Petrol,Dealer,Manual,1.0,18.9,7.07,9
6.4,10000,Petrol,Dealer,Manual,1.0,26.59,6.43,2
4.5,9000,Petrol,Dealer,Manual,1.0,20.36,6.55,9
4.0,70000,Diesel,Dealer,Manual,2.0,25.17,13.87,8
5.7,40000,Diesel,Dealer,Manual,1.0,13.6,16.73,7
6.8,93000,Diesel,Dealer,Manual,1.0,22.37,8.0,9
6.9,68000,Petrol,Dealer,Automatic,1.0,18.0,2.5,8
0.64,18000,Petrol,Dealer,Manual,1.0,21.79,6.0,9
2.5,120000,Diesel,Individual,Manual,1.0,27.39,8.41,8
0.65,35000,Petrol,Individual,Manual,1.0,18.2,6.55,16
5.5,60000,Diesel,Individual,Manual,2.0,12.99,5.31,5
7.4,38817,Diesel,Dealer,Manual,1.0,11.1,16.73,3
6.45,11000,Petrol,Dealer,Automatic,1.0,17.0,6.55,5
5.0,120000,Petrol,Individual,Automatic,2.0,20.92,15.2,12
4.8,90000,Diesel,Individual,Manual,1.0,21.1,16.73,6
5.35,70000,Diesel,Individual,Manual,3.0,23.84,9.54,7
3.0,100000,Diesel,Individual,Manual,2.0,13.6,15.2,9
2.4,50000,Petrol,Individual,Manual,1.0,14.1,8.41,5
10.85,1000,Petrol,Individual,Automatic,1.0,18.0,8.0,3
7.5,19000,Diesel,Individual,Automatic,1.0,19.16,5.18,4
2.15,80000,Petrol,Individual,Manual,2.0,18.2,3.4,7
1.5,80000,Petrol,Individual,Manual,1.0,22.0,6.84,11
2.19,50000,Petrol,Individual,Manual,2.0,16.78,5.18,8
7.4,38817,Diesel,Dealer,Manual,1.0,19.7,16.73,3
6.45,11000,Petrol,Dealer,Automatic,1.0,21.0,9.99,5
7.0,40000,Diesel,Individual,Automatic,1.0,25.2,3.5,2
9.5,45000,Diesel,Individual,Manual,1.0,19.1,5.37,4
1.6,80000,Petrol,Individual,Manual,2.0,16.1,16.73,11
8.4,120000,Diesel,Individual,Manual,2.0,20.0,8.41,6
4.5,67000,Diesel,Individual,Manual,1.0,13.93,16.73,8
9.0,50000,Diesel,Individual,Manual,1.0,18.16,5.99,4
2.55,110000,Diesel,Individual,Manual,2.0,15.29,8.41,10
1.3,40000,Petrol,Individual,Manual,1.0,21.21,9.93,12
5.3,120000,Diesel,Individual,Manual,2.0,17.6,5.27,8
5.2,110000,Diesel,Individual,Manual,2.0,23.0,2.38,6
0.81,80000,Petrol,Individual,Manual,2.0,22.54,5.37,17
6.0,47000,Diesel,Individual,Manual,1.0,23.8,2.38,5
4.1,93000,Petrol,Individual,Manual,1.0,15.96,5.78,6
1.2,70000,Petrol,Individual,Manual,2.0,20.45,8.19,11
3.2,50000,Petrol,Individual,Manual,1.0,20.4,14.0,7
2.92,70000,Diesel,Individual,Manual,1.0,22.5,8.19,6
3.9,80000,Diesel,Individual,Manual,1.0,12.99,5.78,9
3.85,25000,Petrol,Individual,Manual,1.0,12.99,8.41,7
8.0,25000,Petrol,Individual,Manual,1.0,27.39,14.0,5
6.75,10000,Petrol,Individual,Manual,1.0,19.6,11.49,2
9.5,30000,Diesel,Individual,Manual,1.0,23.65,9.0,3
6.1,50000,Diesel,Individual,Manual,2.0,12.55,9.99,6
5.25,120000,Diesel,Individual,Manual,1.0,26.59,9.15,9
7.0,40000,Diesel,Individual,Automatic,1.0,12.55,10.0,2
3.75,80000,Diesel,Individual,Manual,1.0,11.5,8.41,6
5.8,90000,Diesel,Individual,Manual,1.0,17.0,4.5,6
4.35,50000,Petrol,Individual,Manual,2.0,19.49,16.73,6
3.5,2136,Petrol,Individual,Manual,1.0,16.2,9.0,1
6.0,35000,Petrol,Individual,Manual,1.0,16.02,9.1,6
10.5,120000,Diesel,Individual,Manual,1.0,23.5,13.87,6
7.35,70000,Diesel,Individual,Manual,1.0,16.6,9.18,4
10.5,18000,Diesel,Dealer,Manual,1.0,19.81,9.54,3
8.0,60000,Diesel,Individual,Manual,1.0,18.9,8.41,4
5.0,99500,Diesel,Individual,Manual,3.0,17.01,5.99,10
2.0,110000,Diesel,Individual,Manual,2.0,25.2,15.2,10
3.7,35000,Petrol,Individual,Manual,1.0,25.32,7.5,5
2.6,110000,Diesel,Individual,Manual,2.0,20.8,10.47,11
2.8,100000,Diesel,Individual,Manual,1.0,20.14,10.19,5
6.1,21000,Petrol,Individual,Manual,1.0,18.5,8.0,7
3.0,60000,Diesel,Individual,Manual,2.0,22.74,6.55,8
1.4,40000,Diesel,Individual,Manual,1.0,27.62,4.58,11
2.3,50000,Petrol,Individual,Manual,1.0,17.5,6.0,13
2.0,65000,Petrol,Individual,Manual,2.0,20.54,15.2,11
2.0,80000,Petrol,Individual,Manual,1.0,18.6,10.47,10
5.6,119000,Diesel,Individual,Manual,1.0,23.59,8.41,6
7.5,80000,Diesel,Individual,Manual,1.0,18.9,15.2,5
5.85,90000,Diesel,Individual,Manual,1.0,28.4,8.41,4
7.6,20000,Petrol,Individual,Manual,1.0,12.9,7.5,5
4.3,80000,Diesel,Individual,Manual,2.0,17.5,17.45,7
4.8,44665,Diesel,Individual,Manual,1.0,24.7,5.37,1
6.43,10000,Diesel,Individual,Manual,1.0,22.74,5.0,2
5.0,60000,Petrol,Individual,Manual,1.0,25.44,4.48,3
4.25,22000,Petrol,Individual,Manual,1.0,23.84,5.78,5
2.5,25000,Petrol,Individual,Manual,1.0,25.44,8.41,7
2.85,70000,Diesel,Individual,Manual,1.0,13.93,13.68,5
2.5,70000,Diesel,Individual,Manual,2.0,17.88,6.43,10
1.7,70000,Petrol,Individual,Manual,2.0,26.59,4.98,8
4.1,45000,Diesel,Individual,Manual,1.0,28.4,8.41,8
4.0,40000,Petrol,Individual,Automatic,1.0,22.7,15.0,6
7.0,30000,Diesel,Individual,Manual,1.0,20.92,10.47,2
3.5,90000,Petrol,Individual,Automatic,1.0,19.3,4.48,14
6.6,34000,Petrol,Individual,Manual,2.0,17.2,4.48,5
2.68,25000,Petrol,Individual,Manual,1.0,13.6,6.57,4
2.7,50000,Petrol,Individual,Manual,1.0,18.6,6.84,5
3.0,50000,Diesel,Individual,Manual,1.0,21.1,6.57,8
2.2,70000,Diesel,Individual,Manual,2.0,17.5,8.19,9
3.0,85000,Petrol,Individual,Manual,2.0,18.6,8.41,9
5.61,30000,Diesel,Individual,Manual,1.0,18.2,4.5,5
7.55,15000,Diesel,Individual,Manual,1.0,19.7,3.4,3
2.35,25000,Petrol,Individual,Manual,1.0,17.1,8.41,4
1.65,90000,Petrol,Individual,Manual,1.0,17.4,4.26,10
1.9,80000,Diesel,Individual,Manual,2.0,20.54,9.15,13
1.1,50000,Diesel,Individual,Manual,1.0,20.92,8.41,10
3.2,80000,Diesel,Individual,Manual,2.0,18.6,9.0,9
3.3,110000,Diesel,Individual,Manual,2.0,15.42,3.33,11
5.4,38000,Petrol,Individual,Manual,1.0,16.02,5.18,5
1.8,60000,Petrol,Individual,Manual,1.0,18.5,8.41,8
2.7,100000,Petrol,Individual,Manual,3.0,21.1,8.41,5
4.5,30000,Petrol,Individual,Manual,1.0,15.3,6.57,9
4.5,30000,Petrol,Individual,Manual,1.0,19.7,6.84,7
2.0,50000,Petrol,Individual,Manual,1.0,18.2,8.44,6
4.25,42000,Petrol,Individual,Manual,1.0,17.57,3.5,4
1.25,60000,Petrol,Individual,Manual,3.0,19.7,14.95,12
9.0,22000,Petrol,Individual,Manual,1.0,13.6,3.4,6
4.5,90000,Diesel,Individual,Manual,1.0,22.74,9.0,9
2.1,46000,Petrol,Individual,Manual,1.0,20.51,10.0,10
8.01,20000,Petrol,Individual,Manual,1.0,19.3,10.47,3
3.17,15000,Diesel,Individual,Manual,1.0,14.1,9.0,7
6.0,40000,Petrol,Individual,Manual,2.0,24.3,3.33,6
3.3,30000,Petrol,Individual,Manual,2.0,11.36,4.21,7
3.2,15000,Petrol,Individual,Manual,2.0,19.67,8.5,4
1.6,50000,Petrol,Individual,Manual,1.0,24.3,3.5,11
1.2,110000,Petrol,Individual,Manual,2.0,18.6,8.44,14
1.3,70000,Petrol,Individual,Manual,2.0,18.9,8.41,12
2.2,80000,Petrol,Individual,Manual,1.0,18.7,5.75,6
2.3,50000,Diesel,Individual,Manual,3.0,15.4,10.0,13
3.4,110000,Petrol,Individual,Manual,1.0,17.7,3.5,6
2.0,70000,Diesel,Individual,Manual,2.0,19.34,16.73,8
1.4,50000,Petrol,Individual,Manual,2.0,18.16,9.15,19
4.95,100000,Diesel,Individual,Manual,2.0,22.7,6.0,11
2.36,60000,Petrol,Individual,Manual,1.0,19.0,8.41,6
3.9,40000,Petrol,Individual,Manual,1.0,20.3,10.99,6
2.75,90000,Diesel,Individual,Manual,2.0,23.0,11.2,12
5.03,110000,Diesel,Individual,Manual,1.0,22.71,16.73,6
8.5,58000,Diesel,Individual,Manual,1.0,23.0,9.0,5
7.5,5000,Diesel,Individual,Manual,1.0,17.1,4.98,3
5.7,25000,Petrol,Individual,Manual,1.0,20.77,9.79,3
5.8,32000,Petrol,Individual,Manual,1.0,18.8,11.5,3
4.85,30000,Petrol,Individual,Manual,1.0,18.9,15.2,5
7.0,43000,Petrol,Dealer,Manual,1.0,21.14,5.99,4
4.15,60000,Petrol,Dealer,Manual,1.0,22.32,8.19,9
3.25,50000,Petrol,Individual,Automatic,1.0,15.4,3.33,6
5.5,14200,Petrol,Individual,Manual,1.0,19.01,4.5,3
3.0,10000,Petrol,Individual,Manual,1.0,15.1,8.84,4
2.17,25000,Petrol,Individual,Manual,1.0,24.7,6.35,3
7.0,19100,Petrol,Individual,Manual,1.0,20.0,11.49,3
4.85,54000,Diesel,Dealer,Manual,1.0,21.21,4.98,7
6.7,35000,Diesel,Individual,Manual,1.0,15.96,9.54,3
5.0,20000,Petrol,Individual,Manual,2.0,20.51,9.0,3
2.2,120000,Diesel,Individual,Manual,2.0,12.8,10.47,10
6.3,120000,Diesel,Individual,Manual,2.0,25.44,6.0,8
2.5,90000,Diesel,Individual,Manual,2.0,21.66,13.29,11
1.2,120000,Petrol,Individual,Manual,3.0,17.6,15.2,17
3.0,101500,Diesel,Individual,Manual,2.0,21.1,3.4,6
5.25,75000,Diesel,Individual,Automatic,1.0,25.17,3.4,8
2.05,97500,Petrol,Individual,Manual,1.0,19.0,16.53,10
2.05,97500,Petrol,Individual,Manual,1.0,12.99,13.87,10
